,state,avg_hum_spr,avg_hum_sum,avg_hum_fall,avg_hum_wint,avg_temp_spr,avg_temp_sum,avg_temp_fall,avg_temp_wint,avg_precip_spr,avg_precip_sum,avg_precip_fall,avg_precip_wint,avg_pressure_spr,avg_pressure_sum,avg_pressure_fall,avg_pressure_wint
0,Alabama,73.02197802197803,72.58241758241758,75.32608695652173,75.73913043478261,18.076923076923077,27.604395604395606,30.793478260869566,20.98913043478261,1.3241758241758241,3.756043956043956,6.307608695652172,2.8413043478260867,1021.978021978022,1016.0,1016.2717391304348,1018.3804347826087
1,Alaska,67.76923076923077,72.43956043956044,78.29347826086956,75.16304347826087,28.197802197802197,30.0,29.641304347826086,27.73913043478261,0.08131868131868132,2.4857142857142858,4.276086956521739,0.7510869565217391,1014.4505494505495,1012.2967032967033,1012.5978260869565,1013.2608695652174
2,Arizona,82.16483516483517,77.15384615384616,79.8913043478261,81.67391304347827,25.582417582417584,29.054945054945055,28.782608695652176,27.02173913043478,2.6263736263736264,2.19010989010989,1.85,3.1271739130434786,1016.3626373626373,1013.0989010989011,1013.945652173913,1014.0978260869565
3,Arkansas,58.30769230769231,68.10989010989012,68.30434782608695,67.55434782608695,10.824175824175825,26.076923076923077,30.902173913043477,12.576086956521738,0.23186813186813188,1.5010989010989013,1.2826086956521738,0.5413043478260869,1021.0769230769231,1012.945054945055,1015.2173913043479,1019.0869565217391
4,California,42.68131868131868,34.84615384615385,24.76086956521739,39.19565217391305,15.538461538461538,27.318681318681318,35.01086956521739,18.01086956521739,0.2285714285714286,0.002197802197802198,0.014130434782608696,0.12934782608695652,1018.5054945054945,1012.5054945054945,1012.2065217391304,1017.2934782608696
5,Colorado,46.07692307692308,43.73626373626374,49.90217391304348,53.15217391304348,6.4945054945054945,19.714285714285715,23.967391304347824,6.619565217391305,0.31868131868131866,0.9868131868131867,1.9869565217391305,0.5152173913043478,1017.7802197802198,1013.010989010989,1017.4891304347826,1019.0869565217391
6,Connecticut,73.71428571428571,68.0989010989011,74.70652173913044,73.16304347826087,3.934065934065934,20.01098901098901,27.02173913043478,8.5,1.908791208791209,1.6615384615384614,2.6271739130434786,2.7021739130434783,1019.1098901098901,1015.7472527472528,1019.0108695652174,1017.6304347826087
7,Delaware,75.78021978021978,71.18681318681318,78.43478260869566,76.65217391304348,3.967032967032967,21.934065934065934,26.51086956521739,8.967391304347826,1.9934065934065932,2.806593406593407,2.967391304347826,2.0891304347826085,1022.3956043956044,1015.2087912087912,1017.4782608695652,1019.0652173913044
8,Florida,63.78021978021978,77.76923076923077,74.1304347826087,75.52173913043478,24.604395604395606,22.67032967032967,23.380434782608695,23.065217391304348,1.1868131868131866,5.889010989010988,6.381521739130435,3.4847826086956526,1012.7582417582418,1013.8351648351648,1013.3260869565217,1012.9347826086956
9,Georgia,66.65934065934066,57.89010989010989,51.40217391304348,67.03260869565217,9.23076923076923,23.0,28.934782608695652,12.021739130434783,0.5747252747252748,0.7098901098901098,1.0467391304347824,0.6771739130434782,1018.5494505494505,1015.2857142857143,1013.9347826086956,1022.0869565217391
10,Hawaii,51.9010989010989,63.8021978021978,63.56521739130435,54.130434782608695,19.10989010989011,21.604395604395606,27.26086956521739,21.445652173913043,0.04285714285714286,0.0,0.047826086956521734,0.03043478260869565,1018.4065934065934,1013.989010989011,1012.9673913043479,1016.5760869565217
11,Idaho,70.46153846153847,52.142857142857146,30.619565217391305,65.07608695652173,2.3516483516483517,18.87912087912088,28.043478260869566,4.717391304347826,0.15384615384615385,0.48571428571428577,0.10869565217391304,0.19565217391304343,1021.9010989010989,1013.6483516483516,1015.2173913043479,1023.3369565217391
12,Illinois,72.5934065934066,71.64835164835165,79.67391304347827,73.82608695652173,2.32967032967033,21.76923076923077,26.434782608695652,7.173913043478261,0.521978021978022,1.542857142857143,1.3782608695652174,0.9836956521739131,1022.2747252747253,1014.3406593406594,1016.7934782608696,1018.9347826086956
13,Indiana,74.93406593406593,73.3076923076923,83.19565217391305,76.52173913043478,4.461538461538462,22.494505494505493,26.27173913043478,9.467391304347826,1.254945054945055,1.8538461538461541,2.225,0.9456521739130435,1022.4505494505495,1014.8901098901099,1017.2065217391304,1019.1195652173913
14,Iowa,73.64835164835165,74.65934065934066,81.51086956521739,73.69565217391305,1.7802197802197801,21.35164835164835,26.26086956521739,6.771739130434782,0.99010989010989,2.6758241758241756,2.078260869565218,1.7641304347826086,1022.4395604395604,1014.2857142857143,1016.7608695652174,1019.0108695652174
15,Kansas,65.04395604395604,66.17582417582418,69.58695652173913,69.42391304347827,6.472527472527473,24.846153846153847,29.456521739130434,9.978260869565217,0.3241758241758242,1.2538461538461536,2.1184782608695656,1.0032608695652174,1022.065934065934,1013.5714285714286,1016.0434782608696,1019.3695652173913
16,Kentucky,28.164835164835164,39.02197802197802,36.33695652173913,24.097826086956523,32.989010989010985,23.406593406593405,20.23913043478261,30.967391304347824,0.1736263736263736,0.07582417582417583,0.002173913043478261,0.002173913043478261,1011.0,1018.1648351648352,1021.0326086956521,1014.2717391304348
17,Louisiana,71.08791208791209,74.35164835164835,78.73913043478261,75.3695652173913,5.406593406593407,23.54945054945055,28.206521739130434,9.826086956521738,1.3978021978021977,1.7593406593406593,1.9097826086956524,1.5119565217391304,1022.4175824175824,1014.2747252747253,1016.7173913043479,1019.2282608695652
18,Maine,13.857142857142858,22.0989010989011,41.93478260869565,17.858695652173914,34.032967032967036,40.362637362637365,36.119565217391305,33.97826086956522,0.0,0.17142857142857143,0.31195652173913047,0.015217391304347827,1011.5274725274726,1008.032967032967,1010.4130434782609,1012.2717391304348
19,Maryland,68.74725274725274,67.68131868131869,73.30434782608695,71.44565217391305,6.516483516483516,25.065934065934066,29.42391304347826,10.91304347826087,1.6505494505494505,1.801098901098901,2.4,1.4771739130434782,1022.3516483516484,1014.5164835164835,1016.7391304347826,1019.2717391304348
20,Massachusetts,73.56043956043956,61.97802197802198,67.07608695652173,65.97826086956522,4.1098901098901095,19.54945054945055,27.08695652173913,9.16304347826087,1.9054945054945052,1.3593406593406594,1.3282608695652174,1.9652173913043476,1018.2527472527472,1015.5934065934066,1019.0326086956521,1017.1195652173913
21,Michigan,76.35164835164835,76.79120879120879,83.76086956521739,77.75,1.5934065934065933,17.263736263736263,23.48913043478261,6.5,0.8087912087912089,2.498901098901099,2.6913043478260867,1.4391304347826088,1022.021978021978,1014.989010989011,1017.3260869565217,1018.6195652173913
22,Minnesota,83.51648351648352,83.01098901098901,85.03260869565217,80.54347826086956,-2.010989010989011,17.857142857142858,23.72826086956522,3.2717391304347827,0.6120879120879121,2.547252747252747,1.8597826086956522,0.851086956521739,1022.7032967032967,1014.9010989010989,1016.5978260869565,1018.8804347826087
23,Mississippi,73.73626373626374,74.16483516483517,76.31521739130434,76.3695652173913,15.021978021978022,27.89010989010989,32.02173913043478,17.141304347826086,1.586813186813187,2.8835164835164835,2.101086956521739,1.6445652173913048,1022.3736263736264,1015.8571428571429,1016.5760869565217,1019.0652173913044
24,Missouri,72.86813186813187,72.43956043956044,77.17391304347827,74.69565217391305,19.307692307692307,29.52747252747253,32.05434782608695,20.467391304347824,0.11648351648351649,0.27252747252747256,0.7728260869565216,0.3217391304347825,1020.978021978022,1015.1208791208791,1015.5760869565217,1018.1413043478261
25,Montana,79.03296703296704,68.31868131868131,56.06521739130435,72.28260869565217,5.835164835164835,22.736263736263737,26.543478260869566,10.293478260869565,1.2329670329670328,0.9054945054945056,0.5967391304347827,0.6771739130434782,1015.4505494505495,1014.5934065934066,1016.0869565217391,1022.1304347826087
26,Nebraska,76.65934065934066,76.21978021978022,84.20652173913044,77.45652173913044,5.395604395604396,22.516483516483518,26.380434782608695,10.065217391304348,0.9582417582417582,1.0516483516483515,1.4608695652173918,0.8565217391304347,1022.4505494505495,1015.010989010989,1017.2391304347826,1019.304347826087
27,Nevada,89.56043956043956,90.34065934065934,82.0,91.48913043478261,20.043956043956044,20.373626373626372,22.25,20.184782608695652,5.697802197802198,10.142857142857142,6.665217391304348,7.1739130434782625,1010.978021978022,1011.934065934066,1011.0978260869565,1011.4130434782609
28,New_Hampshire,77.10989010989012,74.7032967032967,85.17391304347827,79.3695652173913,3.5164835164835164,21.175824175824175,25.184782608695652,8.391304347826088,2.030769230769231,2.838461538461538,3.4510869565217397,2.13695652173913,1022.3516483516484,1015.0769230769231,1017.3260869565217,1019.0326086956521
29,New_Jersey,68.75824175824175,63.75824175824176,67.76086956521739,66.41304347826087,5.043956043956044,19.934065934065934,27.652173913043477,10.847826086956522,2.052747252747253,1.502197802197802,3.161956521739131,3.3576086956521745,1020.1538461538462,1016.021978021978,1018.7717391304348,1018.25
30,New_Mexico,55.57142857142857,69.24175824175825,66.78260869565217,58.81521739130435,30.0989010989011,19.747252747252748,16.782608695652176,26.75,0.7373626373626373,0.15164835164835164,0.5043478260869565,1.0141304347826088,1013.6923076923077,1021.4615384615385,1019.5326086956521,1014.0652173913044
31,New_York,68.32967032967034,63.20879120879121,67.1413043478261,65.8586956521739,5.1098901098901095,19.912087912087912,27.72826086956522,11.021739130434783,1.9494505494505492,1.745054945054945,3.7326086956521745,3.4054347826086957,1020.0879120879121,1016.021978021978,1018.7608695652174,1018.2391304347826
32,North_Carolina,70.53846153846153,74.34065934065934,78.25,76.96739130434783,11.10989010989011,25.34065934065934,29.282608695652176,14.358695652173912,1.7912087912087913,1.7615384615384617,3.133695652173913,2.3728260869565214,1022.3296703296703,1016.2307692307693,1018.0217391304348,1019.6413043478261
33,North_Dakota,74.86813186813187,77.37362637362638,85.28260869565217,77.59782608695652,0.989010989010989,19.208791208791208,24.652173913043477,5.695652173913044,0.5263736263736264,1.7791208791208788,1.4782608695652177,0.7228260869565218,1022.2307692307693,1014.8681318681319,1017.0,1018.7282608695652
34,Ohio,76.5934065934066,73.27472527472527,83.55434782608695,77.30434782608695,3.2747252747252746,21.21978021978022,25.597826086956523,8.26086956521739,0.6153846153846154,1.0626373626373626,1.325,0.5206521739130434,1022.1758241758242,1015.032967032967,1017.3804347826087,1018.8152173913044
35,Oklahoma,57.40659340659341,64.14285714285714,66.1086956521739,64.68478260869566,12.285714285714286,27.274725274725274,31.33695652173913,13.880434782608695,0.7780219780219778,1.8516483516483517,2.821739130434782,1.041304347826087,1020.967032967033,1013.065934065934,1014.9782608695652,1018.8586956521739
36,Oregon,76.86813186813187,65.6043956043956,57.67391304347826,70.81521739130434,9.527472527472527,19.483516483516482,26.07608695652174,12.5,2.78021978021978,1.0769230769230769,0.21195652173913043,2.769565217391304,1019.2637362637363,1017.4395604395604,1017.2717391304348,1020.0217391304348
37,Pennsylvania,76.92307692307692,77.61538461538461,84.02173913043478,82.09782608695652,3.10989010989011,19.64835164835165,25.02173913043478,7.304347826086956,1.7967032967032963,2.161538461538462,3.2456521739130433,2.55,1021.5274725274726,1016.0879120879121,1018.945652173913,1019.0108695652174
38,Rhode_Island,73.54945054945055,72.78021978021978,77.94565217391305,71.31521739130434,5.0,17.98901098901099,25.706521739130434,9.967391304347826,1.3725274725274725,0.5593406593406594,1.2554347826086956,0.8217391304347825,1018.3736263736264,1015.8681318681319,1019.0652173913044,1017.25
39,South_Carolina,62.34065934065934,47.38461538461539,37.08695652173913,47.81521739130435,25.76923076923077,20.76923076923077,22.347826086956523,26.858695652173914,1.2560439560439558,0.21648351648351652,0.034782608695652174,1.6076086956521736,1014.8461538461538,1021.2747252747253,1021.6847826086956,1016.554347826087
40,South_Dakota,82.82417582417582,73.10989010989012,67.45652173913044,75.22826086956522,-4.131868131868132,18.604395604395606,25.880434782608695,2.597826086956522,0.5978021978021979,1.620879120879121,1.4108695652173915,0.6195652173913043,1023.3076923076923,1014.4395604395604,1015.5760869565217,1019.5108695652174
41,Tennessee,72.27472527472527,73.7032967032967,81.19565217391305,74.27173913043478,3.5494505494505493,22.67032967032967,26.967391304347824,8.41304347826087,0.2032967032967033,0.3824175824175824,0.5152173913043478,0.2489130434782609,1022.4175824175824,1014.2747252747253,1016.6630434782609,1019.1304347826087
42,Texas,76.53846153846153,73.71428571428571,75.0,74.8586956521739,18.076923076923077,27.36263736263736,30.58695652173913,20.92391304347826,1.5439560439560436,2.2120879120879122,7.352173913043478,2.535869565217391,1020.9560439560439,1015.1868131868132,1015.5978260869565,1017.8260869565217
43,Utah,65.43956043956044,42.38461538461539,27.72826086956522,45.92391304347826,-1.3846153846153846,14.307692307692308,19.630434782608695,3.5543478260869565,0.47802197802197793,0.42747252747252745,0.005434782608695652,0.22717391304347825,1021.1758241758242,1013.9560439560439,1010.945652173913,1022.0869565217391
44,Vermont,74.31868131868131,76.54945054945055,76.76086956521739,75.54347826086956,26.24175824175824,27.296703296703296,28.347826086956523,27.641304347826086,0.9956043956043954,0.8637362637362637,1.192391304347826,1.4000000000000001,1015.978021978022,1016.6373626373627,1015.2717391304348,1014.6304347826087
45,Virginia,75.75824175824175,77.53846153846153,77.8804347826087,73.44565217391305,8.032967032967033,21.23076923076923,27.869565217391305,15.054347826086957,0.27582417582417584,0.5604395604395603,0.8771739130434782,0.5565217391304348,1021.6923076923077,1016.3406593406594,1018.0326086956521,1019.1086956521739
46,Washington,63.43956043956044,62.252747252747255,67.6304347826087,66.44565217391305,8.087912087912088,24.505494505494507,29.967391304347824,12.706521739130435,0.8912087912087912,3.1681318681318684,3.4250000000000003,1.6217391304347826,1021.5604395604396,1016.0439560439561,1018.4782608695652,1019.1847826086956
47,West_Virginia,74.15384615384616,76.86813186813187,81.27173913043478,77.93478260869566,5.21978021978022,20.714285714285715,25.847826086956523,9.173913043478262,1.801098901098901,2.791208791208791,2.7543478260869563,2.057608695652174,1021.8571428571429,1015.9560439560439,1018.5869565217391,1019.2717391304348
48,Wisconsin,80.85714285714286,78.54945054945055,79.43478260869566,79.01086956521739,-1.7472527472527473,17.47252747252747,24.434782608695652,3.217391304347826,0.254945054945055,1.1538461538461537,1.4565217391304348,0.692391304347826,1022.3186813186813,1015.3846153846154,1016.8152173913044,1018.5434782608696
49,Wyoming,75.51648351648352,75.74725274725274,77.56521739130434,78.95652173913044,1.3626373626373627,18.021978021978022,25.26086956521739,5.934782608695652,1.0000000000000002,1.356043956043956,1.365217391304348,1.1195652173913042,1021.5054945054945,1015.2307692307693,1017.1847826086956,1018.2717391304348
